labRequiered level1 %10
Run;AvgWaitCrit;AvgWaitMod;AvgWaitMild;AvgTimeCrit;AvgTimeMod;AvgTimeMild;ImpatienceRatio(%);DoctorUtil(%);NurseUtil(%);Throughput
1;13.54;31.14;44.91;46.62;52.89;42.54;13.56;69.82;35.59;2626
2;18.81;34.10;44.96;52.60;54.46;45.03;14.89;68.88;35.91;2527
3;11.81;31.37;47.08;45.44;52.67;43.97;14.21;68.21;35.52;2582
4;13.33;31.60;47.61;48.86;53.97;44.55;14.40;68.82;34.83;2543
5;18.45;33.24;46.70;53.22;51.86;44.90;15.41;71.20;34.61;2571
6;13.74;32.39;46.03;47.84;53.93;45.40;13.55;72.36;34.93;2648
7;14.80;30.73;42.55;48.41;51.14;44.95;12.45;72.20;35.48;2644
8;14.04;33.20;46.53;48.34;54.00;43.72;15.03;69.01;35.45;2561
9;17.23;34.73;46.95;52.26;55.29;44.91;14.68;70.25;34.08;2541
10;15.58;36.18;45.93;49.96;56.61;44.72;15.00;69.48;34.47;2553
11;12.08;32.02;44.15;46.05;53.46;42.89;13.75;69.56;37.40;2673
12;14.54;30.49;42.99;48.47;52.14;45.16;12.20;68.46;34.09;2575
13;13.53;28.75;41.06;46.51;50.65;41.66;11.98;67.21;35.24;2619
14;15.97;32.38;47.56;51.17;52.08;43.37;15.00;64.73;33.53;2575
15;16.56;32.31;44.61;50.23;53.02;38.83;15.35;65.73;33.24;2523
16;13.35;34.60;42.91;48.57;53.08;42.43;14.63;69.42;34.39;2579
17;15.88;30.86;45.25;50.06;52.60;40.98;13.38;69.95;34.41;2616
18;15.43;32.37;45.74;50.14;52.41;44.29;14.48;70.00;35.76;2601
19;11.89;32.31;46.30;45.50;52.94;44.58;13.41;67.12;32.88;2549
20;14.25;29.92;43.23;46.14;52.49;42.76;12.54;69.64;33.07;2648
21;13.93;34.80;46.46;48.28;53.37;42.30;15.58;69.43;34.77;2584
22;15.93;32.76;44.37;52.07;52.95;46.26;13.89;71.38;33.99;2545
23;12.11;29.71;43.17;45.96;51.51;40.84;13.81;70.91;35.79;2539
24;12.43;31.66;44.26;43.41;54.44;42.97;12.82;72.14;34.88;2598
25;15.18;34.66;44.85;49.57;53.35;43.03;15.55;70.96;37.16;2580
26;15.12;33.51;44.71;48.38;54.51;45.05;14.25;66.71;33.53;2515
27;14.17;30.55;42.00;47.88;51.32;41.55;13.09;68.05;35.35;2588
28;13.03;32.03;44.06;45.86;54.42;41.84;13.79;69.05;33.74;2557
29;13.53;34.40;46.84;47.62;52.17;42.07;15.76;69.81;33.75;2508
30;15.49;31.11;42.31;47.70;50.97;43.24;13.41;68.63;35.16;2638
labRequiered level2 %30
Run;AvgWaitCrit;AvgWaitMod;AvgWaitMild;AvgTimeCrit;AvgTimeMod;AvgTimeMild;ImpatienceRatio(%);DoctorUtil(%);NurseUtil(%);Throughput
1;19.68;40.99;52.65;66.15;71.32;53.02;19.27;72.37;34.38;2382
2;16.11;38.78;50.80;62.63;69.83;59.23;17.23;74.81;35.05;2515
3;16.10;38.63;50.25;63.66;72.34;57.90;16.18;76.57;35.60;2451
4;18.57;38.20;55.11;67.35;68.72;60.77;18.94;72.75;32.44;2396
5;15.06;33.44;47.23;58.63;66.94;55.91;14.25;74.79;34.41;2474
6;17.16;39.84;49.62;64.55;68.87;52.22;18.56;74.16;34.75;2418
7;16.81;41.65;53.35;65.08;72.31;56.85;18.66;76.01;34.79;2452
8;16.56;38.65;50.98;62.17;69.29;54.69;18.47;76.05;33.76;2403
9;19.33;36.34;52.55;65.43;70.43;57.31;16.94;77.09;34.70;2475
10;16.82;38.21;47.38;64.02;65.33;54.35;17.46;75.67;33.65;2432
11;15.46;33.42;46.87;64.27;66.03;57.55;14.59;77.22;34.07;2463
12;20.34;45.48;56.09;70.63;76.31;59.62;21.25;77.81;36.06;2426
